title,description,pub_date,sentiment_score,sentiment_label,ticker,company_name,source,link,analysis_text
Eli Lilly and Company Reports Q3 2023 Earnings Results,Eli Lilly and Company announces Q3 2023 Earnings financial results with strong performance.,2023-10-25,0.8,good,LLY,Eli Lilly and Company,Simulated Earnings Events,https://example.com/earnings/LLY/2023-10-25,Eli Lilly and Company Reports Q3 2023 Earnings Results Eli Lilly and Company announces Q3 2023 Earnings financial results with strong performance.
Eli Lilly Faces Drug Pricing Pressure,Eli Lilly faces increased pressure from regulators and insurers over drug pricing policies.,2023-12-05,-0.5,bad,LLY,Eli Lilly and Company,Historical Events Database,https://example.com/news/LLY/2023-12-05,Eli Lilly Faces Drug Pricing Pressure Eli Lilly faces increased pressure from regulators and insurers over drug pricing policies.
Eli Lilly and Company - Holiday Season Performance,Company reports strong performance during holiday season.,2023-12-10,0.21042517238164232,good,LLY,Eli Lilly and Company,Simulated Market Events,https://example.com/market/LLY/2023-12-10,Eli Lilly and Company - Holiday Season Performance Company reports strong performance during holiday season.
Eli Lilly and Company Reports Q4 2023 Earnings Results,Eli Lilly and Company announces Q4 2023 Earnings financial results with mixed performance.,2024-01-25,-0.4,bad,LLY,Eli Lilly and Company,Simulated Earnings Events,https://example.com/earnings/LLY/2024-01-25,Eli Lilly and Company Reports Q4 2023 Earnings Results Eli Lilly and Company announces Q4 2023 Earnings financial results with mixed performance.
Eli Lilly Reports Strong Q4 Earnings,Eli Lilly beats earnings expectations with strong performance across diabetes and obesity portfolios.,2024-01-30,0.8,good,LLY,Eli Lilly and Company,Historical Events Database,https://example.com/news/LLY/2024-01-30,Eli Lilly Reports Strong Q4 Earnings Eli Lilly beats earnings expectations with strong performance across diabetes and obesity portfolios.
Eli Lilly Weight Loss Drug Gets FDA Approval,"FDA approves Eli Lilly's new weight loss drug, expanding the company's obesity treatment portfolio.",2024-03-08,0.9,good,LLY,Eli Lilly and Company,Historical Events Database,https://example.com/news/LLY/2024-03-08,"Eli Lilly Weight Loss Drug Gets FDA Approval FDA approves Eli Lilly's new weight loss drug, expanding the company's obesity treatment portfolio."
Eli Lilly and Company - Market Analysis Update,Analysts provide updated market analysis and price targets.,2024-03-15,0.3677098833805717,good,LLY,Eli Lilly and Company,Simulated Market Events,https://example.com/market/LLY/2024-03-15,Eli Lilly and Company - Market Analysis Update Analysts provide updated market analysis and price targets.
Eli Lilly and Company Reports Q1 2024 Earnings Results,Eli Lilly and Company announces Q1 2024 Earnings financial results with strong performance.,2024-04-25,0.8,good,LLY,Eli Lilly and Company,Simulated Earnings Events,https://example.com/earnings/LLY/2024-04-25,Eli Lilly and Company Reports Q1 2024 Earnings Results Eli Lilly and Company announces Q1 2024 Earnings financial results with strong performance.
Eli Lilly and Company - Industry Conference Participation,Company participates in major industry conference with positive reception.,2024-06-10,0.0946699408139891,neutral,LLY,Eli Lilly and Company,Simulated Market Events,https://example.com/market/LLY/2024-06-10,Eli Lilly and Company - Industry Conference Participation Company participates in major industry conference with positive reception.
Eli Lilly Alzheimer's Drug Shows Promise,Eli Lilly reports positive results from Phase 3 trial of Alzheimer's treatment drug.,2024-06-12,0.8,good,LLY,Eli Lilly and Company,Historical Events Database,https://example.com/news/LLY/2024-06-12,Eli Lilly Alzheimer's Drug Shows Promise Eli Lilly reports positive results from Phase 3 trial of Alzheimer's treatment drug.
Eli Lilly and Company Reports Q2 2024 Earnings Results,Eli Lilly and Company announces Q2 2024 Earnings financial results with strong performance.,2024-07-25,0.7,good,LLY,Eli Lilly and Company,Simulated Earnings Events,https://example.com/earnings/LLY/2024-07-25,Eli Lilly and Company Reports Q2 2024 Earnings Results Eli Lilly and Company announces Q2 2024 Earnings financial results with strong performance.
Eli Lilly and Company - Regulatory Update,Company provides update on regulatory matters and compliance.,2024-09-05,-0.1466552171053523,neutral,LLY,Eli Lilly and Company,Simulated Market Events,https://example.com/market/LLY/2024-09-05,Eli Lilly and Company - Regulatory Update Company provides update on regulatory matters and compliance.
Eli Lilly Expands Manufacturing Capacity,Eli Lilly announces major expansion of manufacturing facilities to meet growing demand.,2024-09-18,0.7,good,LLY,Eli Lilly and Company,Historical Events Database,https://example.com/news/LLY/2024-09-18,Eli Lilly Expands Manufacturing Capacity Eli Lilly announces major expansion of manufacturing facilities to meet growing demand.
Eli Lilly and Company Reports Q3 2024 Earnings Results,Eli Lilly and Company announces Q3 2024 Earnings financial results with strong performance.,2024-10-25,0.8,good,LLY,Eli Lilly and Company,Simulated Earnings Events,https://example.com/earnings/LLY/2024-10-25,Eli Lilly and Company Reports Q3 2024 Earnings Results Eli Lilly and Company announces Q3 2024 Earnings financial results with strong performance.
Eli Lilly and Company - Year-End Guidance Update,Company updates full-year guidance based on current performance.,2024-11-20,0.08848659640055662,neutral,LLY,Eli Lilly and Company,Simulated Market Events,https://example.com/market/LLY/2024-11-20,Eli Lilly and Company - Year-End Guidance Update Company updates full-year guidance based on current performance.
