title,description,pub_date,sentiment_score,sentiment_label,ticker,company_name,source,link,analysis_text
Genentech (Roche) Reports Q3 2023 Earnings Results,Genentech (Roche) announces Q3 2023 Earnings financial results with strong performance.,2023-10-25,0.8,good,DNA,Genentech (Roche),Simulated Earnings Events,https://example.com/earnings/DNA/2023-10-25,Genentech (Roche) Reports Q3 2023 Earnings Results Genentech (Roche) announces Q3 2023 Earnings financial results with strong performance.
Genentech (Roche) - Holiday Season Performance,Company reports strong performance during holiday season.,2023-12-10,0.5463582694365012,good,DNA,Genentech (Roche),Simulated Market Events,https://example.com/market/DNA/2023-12-10,Genentech (Roche) - Holiday Season Performance Company reports strong performance during holiday season.
Genentech Faces Patent Expiration Concerns,Genentech faces concerns over upcoming patent expirations for key cancer drugs.,2023-12-20,-0.6,bad,DNA,Genentech (Roche),Historical Events Database,https://example.com/news/DNA/2023-12-20,Genentech Faces Patent Expiration Concerns Genentech faces concerns over upcoming patent expirations for key cancer drugs.
Genentech Reports Strong Oncology Sales,Genentech reports strong quarterly sales driven by oncology portfolio growth.,2024-01-18,0.7,good,DNA,Genentech (Roche),Historical Events Database,https://example.com/news/DNA/2024-01-18,Genentech Reports Strong Oncology Sales Genentech reports strong quarterly sales driven by oncology portfolio growth.
Genentech (Roche) Reports Q4 2023 Earnings Results,Genentech (Roche) announces Q4 2023 Earnings financial results with strong performance.,2024-01-25,0.8,good,DNA,Genentech (Roche),Simulated Earnings Events,https://example.com/earnings/DNA/2024-01-25,Genentech (Roche) Reports Q4 2023 Earnings Results Genentech (Roche) announces Q4 2023 Earnings financial results with strong performance.
Genentech (Roche) - Market Analysis Update,Analysts provide updated market analysis and price targets.,2024-03-15,0.22600583724506823,good,DNA,Genentech (Roche),Simulated Market Events,https://example.com/market/DNA/2024-03-15,Genentech (Roche) - Market Analysis Update Analysts provide updated market analysis and price targets.
Genentech (Roche) Reports Q1 2024 Earnings Results,Genentech (Roche) announces Q1 2024 Earnings financial results with strong performance.,2024-04-25,0.7,good,DNA,Genentech (Roche),Simulated Earnings Events,https://example.com/earnings/DNA/2024-04-25,Genentech (Roche) Reports Q1 2024 Earnings Results Genentech (Roche) announces Q1 2024 Earnings financial results with strong performance.
Genentech Cancer Drug Shows Breakthrough Results,Genentech reports breakthrough results from Phase 3 trial of new cancer immunotherapy drug.,2024-05-30,0.9,good,DNA,Genentech (Roche),Historical Events Database,https://example.com/news/DNA/2024-05-30,Genentech Cancer Drug Shows Breakthrough Results Genentech reports breakthrough results from Phase 3 trial of new cancer immunotherapy drug.
Genentech (Roche) - Industry Conference Participation,Company participates in major industry conference with positive reception.,2024-06-10,-0.18329845491750457,neutral,DNA,Genentech (Roche),Simulated Market Events,https://example.com/market/DNA/2024-06-10,Genentech (Roche) - Industry Conference Participation Company participates in major industry conference with positive reception.
Genentech Partnership with Tech Company,Genentech announces strategic partnership with technology company for AI-driven drug discovery.,2024-06-25,0.7,good,DNA,Genentech (Roche),Historical Events Database,https://example.com/news/DNA/2024-06-25,Genentech Partnership with Tech Company Genentech announces strategic partnership with technology company for AI-driven drug discovery.
Genentech (Roche) Reports Q2 2024 Earnings Results,Genentech (Roche) announces Q2 2024 Earnings financial results with strong performance.,2024-07-25,0.8,good,DNA,Genentech (Roche),Simulated Earnings Events,https://example.com/earnings/DNA/2024-07-25,Genentech (Roche) Reports Q2 2024 Earnings Results Genentech (Roche) announces Q2 2024 Earnings financial results with strong performance.
Genentech FDA Approval for New Treatment,FDA approves Genentech's new treatment for advanced breast cancer patients.,2024-08-14,0.8,good,DNA,Genentech (Roche),Historical Events Database,https://example.com/news/DNA/2024-08-14,Genentech FDA Approval for New Treatment FDA approves Genentech's new treatment for advanced breast cancer patients.
Genentech (Roche) - Regulatory Update,Company provides update on regulatory matters and compliance.,2024-09-05,0.27965449976472706,good,DNA,Genentech (Roche),Simulated Market Events,https://example.com/market/DNA/2024-09-05,Genentech (Roche) - Regulatory Update Company provides update on regulatory matters and compliance.
Genentech (Roche) Reports Q3 2024 Earnings Results,Genentech (Roche) announces Q3 2024 Earnings financial results with strong performance.,2024-10-25,0.8,good,DNA,Genentech (Roche),Simulated Earnings Events,https://example.com/earnings/DNA/2024-10-25,Genentech (Roche) Reports Q3 2024 Earnings Results Genentech (Roche) announces Q3 2024 Earnings financial results with strong performance.
Genentech (Roche) - Year-End Guidance Update,Company updates full-year guidance based on current performance.,2024-11-20,-0.1668370268427259,neutral,DNA,Genentech (Roche),Simulated Market Events,https://example.com/market/DNA/2024-11-20,Genentech (Roche) - Year-End Guidance Update Company updates full-year guidance based on current performance.
